2455260.85336 17.663 0.024 5.26 785.0
2455260.90029 17.717 0.022 4.14 877.0
2455261.79151 17.738 0.028 5.46 786.0
2455262.82995 17.700 0.046 6.71 1931.0
2455264.81438 17.691 0.027 5.87 689.0
2455264.86761 17.679 0.024 4.88 664.0
2455264.88488 17.671 0.022 4.46 662.0
2455265.79053 17.671 0.022 4.85 631.0
2455266.77867 17.622 0.028 6.18 628.0
2455267.82049 17.658 0.023 5.34 547.0
2455268.79175 17.646 0.025 5.83 565.0
2455269.78659 17.691 0.021 4.81 555.0
2455270.83098 17.645 0.021 4.88 534.0
2455271.78605 17.679 0.023 5.03 588.0
2455272.79290 17.737 0.029 6.29 550.0
2455273.84752 17.661 0.021 5.04 512.0
2455274.79627 17.607 0.026 5.96 567.0
2455275.78200 17.704 0.028 5.51 677.0
2455275.91321 17.670 0.027 5.25 917.0
2455276.81684 17.654 0.020 4.36 537.0
2455277.78307 17.672 0.023 5.20 547.0
2455277.91208 17.641 0.025 5.15 641.0
2455278.79310 17.653 0.024 5.48 556.0
2455279.79366 17.631 0.032 7.14 585.0
2455279.91738 17.665 0.024 4.47 1263.0
2455280.84535 17.656 0.018 3.90 548.0
2455281.78084 17.647 0.021 4.70 621.0
2455281.91750 17.688 0.023 3.74 1285.0
2455282.76133 17.631 0.024 4.85 780.0
2455282.90601 17.696 0.020 4.10 578.0
2455283.76251 17.685 0.031 5.84 797.0
2455284.76449 17.684 0.026 5.04 910.0
2455285.76013 17.675 0.030 5.65 1024.0
2455285.88949 17.685 0.022 4.37 807.0
2455286.75136 17.715 0.030 4.96 982.0
2455287.82100 17.687 0.020 3.68 793.0
2455288.75436 17.667 0.026 4.87 943.0
2455292.82453 17.662 0.028 4.07 2330.0
2455293.83250 17.630 0.021 4.57 562.0
2455294.73371 17.708 0.024 5.34 522.0
2455294.77287 17.681 0.019 4.14 498.0
2455294.80995 17.660 0.016 3.69 479.0
2455294.87767 17.677 0.014 3.12 493.0
2455294.91964 17.692 0.020 4.14 736.0
2455295.77456 17.715 0.020 4.39 473.0
